itemcode,etfTabCode,itemname,nowVal,risefall,changeVal,changeRate,nav,threeMonthEarnRate,quant,amonut,marketSum
122090,1,ARIRANG 코스피50,28385,2,35,0.12,28389.0,-5.0093,408,11,145
269420,4,KODEX S&P글로벌인프라(합성),12365,5,-10,-0.08,,3.8606,20890,255,144
253160,3,ARIRANG 200선물인버스2X,4175,5,-35,-0.83,4191.0,8.5051,24111,101,144
308620,6,KODEX 미국채10년선물,11965,2,50,0.42,,5.2561,11606,138,144
365780,6,KINDEX 국고채10년,97610,2,100,0.1,97608.0,0.7959,74,7,143
292050,1,KBSTAR KRX300,19120,2,20,0.1,19126.0,-3.5598,2011,38,143
276000,4,TIGER 글로벌자원생산기업(합성 H),13000,5,-15,-0.12,,-7.4325,257,3,143
337150,2,KODEX 200exTOP,14145,5,-95,-0.67,14189.0,-3.4249,2,0,141
251590,2,ARIRANG 고배당저변동50,11735,2,55,0.47,11734.0,0.5163,6225,72,141
307010,3,KBSTAR KRX300레버리지,20035,2,110,0.55,19906.0,-6.7837,441,8,140
375760,2,HANARO 탄소효율그린뉴딜,9945,2,15,0.15,9950.0,-2.9326,324,3,139
140950,1,파워 코스피100,31555,2,225,0.72,31504.0,-5.2186,48,1,139
253150,3,ARIRANG 200선물레버리지,46260,2,190,0.41,46246.0,-9.6224,89,4,139
195920,4,TIGER 일본TOPIX(합성 H),17265,2,40,0.23,,6.6893,2679,45,138
219900,4,KINDEX 중국본토CSI300레버리지(합성),5725,5,-5,-0.09,,-3.0457,5829,33,137
229720,1,KODEX KTOP30,22360,5,-25,-0.11,22438.0,-2.9061,1290,28,134
360150,2,KODEX 코스닥150롱코스피200숏선물,8635,5,-145,-1.65,8659.0,13.2172,5,0,130
243890,2,TIGER 200에너지화학레버리지,23190,2,525,2.32,23288.0,4.135,9546,220,128
244670,2,KODEX 밸류Plus,10590,2,10,0.09,10598.0,-5.1547,150,1,127
361590,2,KBSTAR 코스피ex200,14855,5,-40,-0.27,14840.0,0.506,50,0,126
253290,7,KBSTAR 헬스케어채권혼합,12575,5,-40,-0.32,12567.0,1.6109,10673,133,126
279540,2,KODEX 최소변동성,12490,2,15,0.12,12527.0,0.808,18,0,125
310080,4,KBSTAR 중국MSCI China(H),12460,5,-110,-0.88,,-11.944,4908,60,125
248260,4,TIGER 일본TOPIX헬스케어(합성),12405,2,40,0.32,,6.9174,252,3,124
104520,2,KOSEF 블루칩,10280,5,-15,-0.15,10280.0,-4.5434,233,2,123
251600,7,ARIRANG 고배당주채권혼합,11210,2,10,0.09,11226.0,-0.2228,1850,20,123
391590,4,KINDEX 미국스팩&IPO INDXX,10145,2,100,1.0,,,14345,145,122
244620,2,KODEX 모멘텀Plus,13510,5,-75,-0.55,13505.0,9.424,831,11,122
394350,4,KOSEF 릭소글로벌퓨처모빌리티MSCI,11050,2,65,0.59,,,20912,230,122
196030,4,KINDEX 일본TOPIX레버리지(H),24250,2,180,0.75,,12.5818,682,16,121
261070,2,TIGER 코스닥150바이오테크,12440,5,-235,-1.85,12574.0,-0.393,5620,70,117
265690,4,KINDEX 러시아MSCI(합성),33385,2,205,0.62,,8.3428,309,10,117
100910,1,KOSEF KRX100,6460,2,5,0.08,6461.0,-4.2285,74,0,116
395160,2,KODEX Fn시스템반도체,9545,5,-25,-0.26,9547.0,,153563,1460,115
208470,4,SOL 선진국MSCI World(합성 H),19050,5,-175,-0.91,,5.2847,121,2,114
292750,1,ARIRANG KRX300,18945,2,20,0.11,18936.0,-3.3453,21,0,114
139660,7,KOSEF 미국달러선물인버스,10145,5,-60,-0.59,10142.0,-4.7597,197,1,113
270800,2,KBSTAR KQ고배당,15990,5,-135,-0.84,15998.0,-0.7998,1115,17,112
316300,7,KINDEX 싱가포르리츠,12370,2,30,0.24,,3.6974,1946,24,111
225030,4,TIGER 미국S&P500선물인버스(H),3750,2,20,0.54,,-6.399,22459,84,109
101280,4,KODEX 일본TOPIX100,18040,3,0,0.0,,12.189,2431,43,108
285000,2,KBSTAR 200IT,16280,5,-60,-0.37,16306.0,-0.2443,918,14,107
289250,2,TIGER MSCI KOREA ESG유니버설,12290,2,15,0.12,12286.0,-4.6602,108,1,107
352540,7,KODEX TSE일본리츠(H),13350,5,-100,-0.74,,-0.1114,161,2,107
253230,3,KOSEF 200선물인버스2X,2070,5,-10,-0.48,2079.0,8.3333,87525,182,106
108590,1,TREX 200,41840,2,95,0.23,41847.0,-3.913,36,1,105
145850,2,TREX 펀더멘탈 200,41345,2,235,0.57,41325.0,-4.2172,31,1,103
275290,2,KODEX MSCI밸류,12915,2,5,0.04,12985.0,-4.9338,1,0,103
337120,2,KODEX Fn멀티팩터,14675,3,0,0.0,14665.0,-3.0073,1711,25,103
300950,2,KODEX 게임산업,12775,5,-45,-0.35,12760.0,-4.7902,12144,155,102
368200,2,KBSTAR Fn K-뉴딜디지털플러스,12650,5,-190,-1.48,12665.0,0.5481,1202,15,101
375270,7,KBSTAR 글로벌데이터센터리츠나스닥(합성),12645,5,-155,-1.21,,8.0168,5359,67,101
342140,7,KINDEX 모닝스타싱가포르리츠채권혼합,10115,5,-90,-0.88,,2.3057,27,0,101
152500,3,KINDEX 레버리지,10075,2,15,0.15,10097.0,-9.5324,10033,100,101
225060,4,TIGER 이머징마켓MSCI레버리지(합성 H),14245,5,-210,-1.45,,-11.0462,220,3,100
271060,5,KODEX 3대농산물선물(H),10380,2,50,0.48,,-13.0472,5719,59,100
395150,2,KODEX Fn웹툰&드라마,8910,5,-130,-1.44,8909.0,,105144,933,98
381570,2,HANARO Fn친환경에너지,10855,2,65,0.6,10855.0,10.4401,53517,579,98
105780,2,KBSTAR 5대그룹주,8075,5,-70,-0.86,8106.0,-4.0071,7898,63,97
227830,1,ARIRANG 코스피,32185,2,20,0.06,32194.0,-1.8163,93,2,97
364690,1,KODEX 혁신기술테마액티브,13610,5,-30,-0.22,13637.0,-2.2223,2471,33,95
156080,1,KODEX MSCI Korea,19020,5,-80,-0.42,19156.0,-4.5,14,0,95
226380,2,KINDEX Fn성장소비주도주,7880,5,-80,-1.01,7890.0,-5.7431,10996,86,95
272230,2,KINDEX 스마트밸류,15750,2,25,0.16,15740.0,-3.9402,27,0,95
322120,2,KINDEX 스마트퀄리티,18615,2,5,0.03,18608.0,-3.6999,235,4,93
261060,2,TIGER 코스닥150IT,16520,2,20,0.12,16521.0,0.3039,3132,51,93
266390,2,KODEX 경기소비재,13190,5,-165,-1.24,13237.0,1.2509,674,8,92
226980,1,KODEX 200 중소형,15295,2,20,0.13,15304.0,1.8672,3767,57,92
167860,6,KOSEF 국고채10년레버리지,130790,5,-740,-0.56,130802.0,1.9533,15,1,92
189400,4,ARIRANG 글로벌MSCI(합성 H),17915,5,-130,-0.72,,3.5581,120,2,91
322150,2,KINDEX 스마트하이베타,15105,5,-80,-0.53,15176.0,-3.126,23,0,91
137930,3,마이다스 200커버드콜5%OTM,15050,5,-5,-0.03,15074.0,-3.4936,3,0,90
205720,4,KINDEX 일본TOPIX인버스(합성 H),4085,2,20,0.49,,-6.8729,68010,276,90
380340,2,KINDEX Fn5G플러스,8955,5,-35,-0.39,8969.0,-0.1112,7739,69,90
261120,7,TIGER 미국달러선물인버스2X,8920,5,-140,-1.55,8933.0,-8.9905,328,2,89
251890,1,KINDEX 코스닥(합성),14860,3,0,0.0,14721.0,4.6847,0,0,89
131890,2,KINDEX 삼성그룹동일가중,17765,5,-95,-0.53,17818.0,-0.3071,212,3,89
104530,2,KOSEF 고배당,9830,5,-25,-0.25,9828.0,9.8662,10417,102,88
183710,7,KBSTAR 주식혼합,43830,2,80,0.18,43906.0,-3.4856,13,0,88
272220,2,KINDEX 스마트모멘텀,17525,5,-15,-0.09,17521.0,-3.6793,20,0,88
159800,1,마이티 코스피100,31010,3,0,0.0,31023.0,-4.4671,1,0,87
394340,4,KOSEF 릭소글로벌디지털경제MSCI,10710,5,-45,-0.42,,,247,2,86
168300,1,KTOP 코스피50,28535,5,-110,-0.38,28689.0,-4.6756,182,5,86
291130,4,KINDEX 멕시코MSCI(합성),10685,2,95,0.9,,6.4856,1151,12,85
322130,2,KINDEX 스마트로우볼,17055,2,25,0.15,17050.0,-4.2183,20,0,85
256450,4,ARIRANG 심천차이넥스트(합성),14200,3,0,0.0,,1.2477,1366,19,85
291630,3,KOSEF 코스닥150선물레버리지,6975,5,-150,-2.11,6968.0,15.8536,291,2,84
292560,7,TIGER 일본엔선물,10520,2,35,0.33,10534.0,4.1211,5190,54,84
253280,2,KBSTAR 헬스케어,16810,5,-185,-1.09,16810.0,6.2519,9408,157,84
307510,2,TIGER 의료기기,20980,5,-515,-2.4,21063.0,13.6399,2391,50,84
261140,2,TIGER 우선주,13960,5,-90,-0.64,13987.0,-6.7994,777,10,84
333970,2,ARIRANG KS밸류가중TR,16695,2,70,0.42,16696.0,-1.2181,22,0,83
277650,2,TIGER 코스피중형주,18340,3,0,0.0,18352.0,1.41,2576,47,83
354240,7,KBSTAR 미국고정배당우선증권ICE TR,10825,2,15,0.14,,5.8765,953,10,81
275280,2,KODEX MSCI모멘텀,13480,3,0,0.0,13540.0,-2.1061,0,0,81
379790,4,KBSTAR 유로스탁스50(H),10685,5,-25,-0.23,,2.2434,957,10,80
319870,2,KBSTAR KRX300미국달러선물혼합,15945,2,120,0.76,15906.0,0.8925,628,9,80
234310,2,KBSTAR V&S셀렉트밸류,15910,5,-40,-0.25,15966.0,-1.2079,84,1,80
138920,5,KODEX 콩선물(H),11330,2,90,0.8,,-14.0345,2531,28,79
289670,6,ARIRANG 국채선물10년,56615,3,0,0.0,56597.0,0.8012,0,0,79
305050,1,KINDEX 코스피,31650,2,30,0.09,31630.0,-2.9913,122,3,79
252650,1,KODEX 200동일가중,13105,2,30,0.23,13107.0,-1.7287,1837,24,79
271050,5,KODEX WTI원유선물인버스(H),8435,5,-205,-2.37,,-2.5381,74289,627,78
228820,1,TIGER KTOP30,11125,5,-25,-0.22,11144.0,-2.4071,606,6,78
346000,6,HANARO KAP초장기국고채,46835,2,10,0.02,46832.0,2.4392,11018,516,78
371150,4,KBSTAR 차이나항셍테크,8585,5,-185,-2.11,,-11.8593,42615,368,77
244660,2,KODEX 퀄리티Plus,10995,5,-60,-0.54,11000.0,-6.1545,202,2,77
395270,2,HANARO Fn K-반도체,9595,2,35,0.37,9610.0,,14485,138,77
166400,3,TIGER 200커버드콜5%OTM,15205,5,-20,-0.13,15255.0,-4.5156,1,0,76
139320,5,TIGER 금은선물(H),9500,5,-60,-0.63,,-5.8129,3561,33,76
368470,2,KINDEX Fn K-뉴딜디지털플러스,15070,5,-260,-1.7,15122.0,0.1306,408,6,75
105010,4,TIGER 라틴35,3575,5,-20,-0.56,,-4.642,9233,33,75
252730,2,KBSTAR 모멘텀로우볼,16630,2,115,0.7,16614.0,-0.6019,10,0,75
395170,2,KODEX Fn Top10동일가중,9350,5,-155,-1.63,9377.0,,23382,218,75
397420,6,KBSTAR 국채선물5년추종,49765,5,-10,-0.02,49715.0,,18,0,75
391670,1,HK 베스트일레븐액티브,9940,5,-5,-0.05,9937.0,,1148,11,75
250730,4,KBSTAR 차이나HSCEI(H),10585,5,-210,-1.95,,-11.6251,10004,106,74
333960,2,ARIRANG KS모멘텀가중TR,16270,5,-25,-0.15,16308.0,-1.985,25,0,73
306530,3,HANARO 코스닥150선물레버리지,14065,5,-315,-2.19,14056.0,15.8742,126,1,73
174350,2,TIGER 로우볼,12565,2,10,0.08,12565.0,0.44,63,0,73
298340,6,ARIRANG 국채선물3년,53445,5,-50,-0.09,53443.0,-0.1494,9,0,73
117690,4,TIGER 차이나항셍25,16100,5,-350,-2.13,,-4.1376,3287,53,72
395290,2,HANARO Fn K-POP&미디어,9020,5,-140,-1.53,9042.0,,2067,18,72
307520,2,TIGER 지주회사,12025,5,-35,-0.29,12069.0,-8.4283,3598,43,72
300610,2,TIGER K게임,13115,2,35,0.27,13153.0,-0.2289,3534,46,72
373790,4,KOSEF 미국방어배당성장나스닥,11995,5,-25,-0.21,,10.4779,335,4,72
373490,2,KODEX K-이노베이션액티브,11035,5,-25,-0.23,11094.0,-2.5122,311,3,72
281990,2,KBSTAR 중소형고배당,12935,2,45,0.35,12945.0,2.3421,42922,555,71
391680,1,HK 하이볼액티브,9480,2,5,0.05,9481.0,,1434,13,71
314700,2,HANARO 농업융복합산업,12845,5,-5,-0.04,12894.0,-2.0953,884,11,71
261110,7,TIGER 미국달러선물레버리지,10060,2,130,1.31,10058.0,9.1808,1226,12,70
302170,6,TIGER 국채선물3년인버스,49890,3,0,0.0,49940.0,0.2713,0,0,70
237440,7,TIGER 경기방어채권혼합,9960,5,-20,-0.2,9964.0,-1.1392,1296,12,70
238670,7,ARIRANG 스마트베타Quality채권혼합,11335,5,-20,-0.18,11346.0,-0.6997,277,3,68
277640,2,TIGER 코스피대형주,15105,2,30,0.2,15111.0,-4.5887,3034,45,68
213610,2,KODEX 삼성그룹밸류,9605,2,10,0.1,9635.0,-1.5393,1098,10,67
289480,2,TIGER 200커버드콜ATM,11190,2,25,0.22,11178.0,-1.4998,17,0,67
192720,2,파워 고배당저변동성,31885,5,-140,-0.44,32014.0,0.2033,4115,131,67
301440,2,ARIRANG 코스피중형주,13390,5,-75,-0.56,13449.0,1.393,72,0,67
252000,1,TIGER 200동일가중,13285,3,0,0.0,13365.0,-2.0281,0,0,66
269370,4,TIGER S&P글로벌인프라(합성),10995,5,-60,-0.54,,3.9883,317,3,66
373530,4,ARIRANG 신흥국MSCI인버스(합성 H),9145,2,160,1.78,,2.3931,146,1,66
139290,2,TIGER 200 경기소비재,18205,5,-105,-0.57,18238.0,-8.9055,832,15,66
140570,2,KBSTAR 수출주,13095,2,90,0.69,13096.0,-3.9868,15706,204,65
304670,4,KODEX 미국채울트라30년선물인버스(H),7215,5,-5,-0.07,,-5.8671,1621,11,65
195970,4,ARIRANG 선진국MSCI(합성 H),12475,5,-110,-0.87,,1.0032,9771,122,65
376250,2,ARIRANG 탄소효율그린뉴딜,9950,2,10,0.1,9950.0,-2.6445,661,6,65
333940,2,ARIRANG KS로우볼가중TR,13940,2,25,0.18,13990.0,-2.7943,24,0,63
292340,2,마이티 200커버드콜ATM레버리지,10445,3,0,0.0,10492.0,-3.3766,0,0,63
333950,2,ARIRANG KS로우사이즈가중TR,17885,2,15,0.08,17884.0,0.365,20,0,63
147970,2,TIGER 모멘텀,26035,2,75,0.29,26033.0,3.1796,557,14,62
145670,3,KINDEX 인버스,4790,5,-10,-0.21,4804.0,4.4613,20802,99,62
342600,6,KBSTAR KRX국채선물3년10년스티프너2X,51840,2,35,0.07,51839.0,-1.06,6,0,62
342500,6,KBSTAR KRX국채선물3년10년스티프너,51235,2,20,0.04,51226.0,-0.4084,7,0,61
261260,7,KODEX 미국달러선물인버스2X,8980,5,-95,-1.05,8977.0,-9.2047,42346,380,61
215620,2,HK S&P코리아로우볼,12670,5,-40,-0.31,12664.0,-0.3529,217,2,61
176710,6,파워 중기국고채,99760,3,0,0.0,99715.0,-0.1891,0,0,60
342610,6,KBSTAR KRX국채선물3년10년플래트너,49835,5,-15,-0.03,49820.0,0.6663,6,0,60
269530,4,ARIRANG S&P글로벌인프라,11875,2,5,0.04,,3.3072,462,5,59
290080,2,KBSTAR 200고배당커버드콜ATM,8445,5,-5,-0.06,8442.0,2.5485,396,3,59
267440,4,KBSTAR 미국장기국채선물(H),11800,5,-10,-0.08,,3.6419,84,0,59
342620,6,KBSTAR KRX국채선물3년10년플래트너2X,49040,5,-20,-0.04,49044.0,1.0296,6,0,59
220130,4,SOL 중국본토 중소형 CSI500(합성 H),6535,2,25,0.38,,14.1104,4099,26,59
098560,2,TIGER 방송통신,10485,5,-110,-1.04,10481.0,3.2148,5218,54,59
395280,2,HANARO Fn K-게임,8380,5,-80,-0.95,8381.0,,502,4,59
302180,6,TIGER 국채선물10년인버스,48190,3,0,0.0,48217.0,-0.7722,0,0,58
315480,2,KBSTAR 200커뮤니케이션서비스,19185,5,-425,-2.17,19262.0,-6.4855,4784,92,58
261920,4,KINDEX 필리핀MSCI(합성),14100,2,60,0.43,,1.9607,92,1,56
321410,7,KODEX 멀티에셋하이인컴(H),11060,2,45,0.41,,1.9907,3983,43,55
275300,2,KODEX MSCI퀄리티,10730,5,-95,-0.88,10736.0,1.2155,9123,97,54
291680,4,KBSTAR 차이나H선물인버스(H),10695,2,195,1.86,,10.935,1663,17,53
139310,5,TIGER 금속선물(H),7395,2,145,2.0,,3.9426,9046,66,52
261270,7,KODEX 미국달러선물인버스,9745,5,-45,-0.46,9742.0,-4.6274,10291,100,52
285010,2,KBSTAR 200중공업,10625,3,0,0.0,10622.0,-11.8989,5187,54,51
371870,4,KINDEX 차이나항셍테크,8500,5,-160,-1.85,,-11.8127,45891,391,51
292770,6,KODEX 국채선물3년인버스,49825,3,0,0.0,49873.0,0.3524,0,0,51
299080,6,KINDEX 국채선물3년인버스,99655,3,0,0.0,99767.0,0.3069,0,0,50
315270,2,TIGER 200커뮤니케이션서비스,31090,5,-405,-1.29,31092.0,-6.9847,1369,42,50
334690,5,KBSTAR 팔라듐선물(H),12160,5,-480,-3.8,,-21.2462,21105,257,49
157500,2,TIGER 증권,4815,5,-60,-1.23,4832.0,-2.3047,5123,24,48
309210,2,ARIRANG KRX300헬스케어,13275,5,-200,-1.48,13379.0,2.5104,1233,16,48
299070,6,KINDEX 국채선물10년인버스,94870,3,0,0.0,95155.0,-0.9863,0,0,47
301410,3,ARIRANG 코스닥150선물인버스,6740,2,75,1.13,6730.0,-8.2588,5203,34,47
275750,1,KBSTAR 코스닥150선물인버스,4475,2,45,1.02,4485.0,-8.4711,9178,41,47
280920,2,ARIRANG 주도업종,11665,5,-75,-0.64,11660.0,-1.7574,137,1,47
217790,2,TIGER 가격조정,25735,5,-55,-0.21,25744.0,-1.2445,7802,200,46
287300,2,KBSTAR 200건설,13150,5,-60,-0.45,13206.0,-1.1228,872,11,45
266550,2,ARIRANG 중형주저변동50,12635,2,20,0.16,12627.0,2.8117,102,1,44
280940,4,KODEX 골드선물인버스(H),7255,2,25,0.35,,4.1786,6686,48,44
267490,4,KBSTAR 미국장기국채선물레버리지(합성 H),13940,2,35,0.25,,11.329,2,0,42
253240,3,KOSEF 200선물인버스,5080,5,-10,-0.2,5078.0,3.9836,8867,45,42
291620,3,KOSEF 코스닥150선물인버스,7720,2,80,1.05,7720.0,-8.1179,36343,280,41
333980,2,ARIRANG KS퀄리티가중TR,16060,5,-15,-0.09,16060.0,0.5001,23,0,40
227550,2,TIGER 200 산업재,7155,3,0,0.0,7153.0,-6.5317,3413,24,40
278420,2,ARIRANG ESG우수기업,9965,2,65,0.66,10002.0,-0.3022,7332,72,40
227560,2,TIGER 200 생활소비재,11070,2,25,0.23,11066.0,-10.4944,2356,25,40
295020,6,KBSTAR 국채선물10년인버스,47430,2,75,0.16,47472.0,-1.0138,16,0,40
267450,4,KBSTAR 미국장기국채선물인버스(H),7835,2,5,0.06,,-4.454,4155,32,39
217770,4,TIGER 원유선물인버스(H),5870,5,-125,-2.09,,-3.6948,12542,73,38
140580,2,KBSTAR 우량업종,12615,2,25,0.2,12596.0,-6.4289,14,0,38
284990,2,KBSTAR 200에너지화학,14150,2,140,1.0,14202.0,2.9012,1840,25,37
285020,2,KBSTAR 200철강소재,10185,2,275,2.77,10189.0,3.1754,10800,108,33
267500,4,KBSTAR 미국장기국채선물인버스2X(합성 H),5760,2,15,0.26,,-11.8866,1997,11,32
291890,4,KODEX MSCI EM선물(H),10395,5,-180,-1.7,,-4.0382,393,4,31
284980,2,KBSTAR 200금융,8855,5,-20,-0.23,8865.0,-4.5186,1201,10,30
252720,2,KBSTAR 모멘텀밸류,14955,2,145,0.98,14951.0,-3.5808,103,1,30
301400,1,ARIRANG 코스닥150,14810,5,-140,-0.94,14956.0,6.6714,60,0,30
295000,6,KBSTAR 국채선물10년,55760,5,-35,-0.06,55673.0,0.9498,16,0,26
334700,5,KBSTAR 팔라듐선물인버스(H),5390,2,125,2.37,,20.0684,610,3,22
287330,2,KBSTAR 200생활소비재,8430,2,10,0.12,8439.0,-10.0908,473,3,20
211260,2,KINDEX 배당성장,41265,2,5,0.01,41268.0,5.3088,92,3,17
287310,2,KBSTAR 200경기소비재,11320,5,-25,-0.22,11303.0,-8.545,274,3,16
287320,2,KBSTAR 200산업재,12745,5,-10,-0.08,12769.0,-6.6252,68,0,15
295820,1,ARIRANG 200동일가중,12055,2,20,0.17,12038.0,-1.0687,73,0,12
